,Deal Number,Acquiror name,Acquiror country code,Target name,Target country code,Deal type,Deal status,Deal value th USD,Last deal status date,Acquired stake (%),Initial stake (%),Final stake (%),Target primary NAICS 2017 code,Acquiror primary NAICS 2017 code,Acquiror ticker symbol,Target ticker symbol,Announced date,Deal method of payment,Target listed,Deal method of payment value th USD
2317.,1941596009,SILGAN HOLDINGS INC.,US,UNICEP PACKAGING LLC,US,Acquisition 100%,Completed,"237,000.00",30.09.2021,100.00000,0.00000,100.00000,326112,332431,SLGN,,30.09.2021,Liabilities,Unlisted,n.a.
2318.,1941442490,VISION INVESTMENT LLC,US,ALLUXA INC.,US,Acquisition 100%,Completed,"237,000.00",26.10.2020,100.00000,0.00000,100.00000,333314,333314,,,28.09.2020,Shares,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash assumed,,"18,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
2319.,1941568749,CITIZENS BUSINESS BANK,US,SUNCREST BANK,US,Acquisition 100%,Completed,"237,000.00",07.01.2022,100.00000,0.00000,100.00000,522110,522110,,SBKK,27.07.2021,Cash,Delisted,"39,000"
,,,,,,,,,,,,,,,,,,Shares,,"165,000"
2320.,2007290114,WPF HOLDINGS INC.,US,VIRTUAL HEALTH HOLDINGS INC.,US,Acquisition 100%,Completed,"236,060.00",21.02.2024,100.00000,0.00000,100.00000,621610,511210,,,04.10.2023,Earn-out,Unlisted,"85,840"
,,,,,,,,,,,,,,,,,,Shares,,"236,060"
2321.,2007685466,NBT BANCORP INC.,US,EVANS BANCORP INC.,US,Acquisition 100%,Completed,"236,000.00",02.05.2025,100.00000,0.00000,100.00000,522110,551111,NBTB,EVBN,09.09.2024,Shares,Delisted,"236,000"
2322.,1941345820,STONEX GROUP INC.,US,GAIN CAPITAL HOLDINGS INC.,US,Acquisition 100%,Completed,"236,000.00",31.07.2020,100.00000,0.00000,100.00000,523210,523930,SNEX,GCAP,27.02.2020,Cash,Delisted,"236,000"
2323.,2007368426,SAIA INC.,US,YELLOW CORPORATION'S 17 TRUCKING TERMINALS,US,Acquisition 100%,Completed,"235,700.00",04.12.2023,100.00000,0.00000,100.00000,484122,484122,SAIA,,21.09.2023,,Unlisted,n.a.
2324.,2008216889,EDGEWELL PERSONAL CARE COMPANY,US,CREMO COMPANY LLC,US,Acquisition 100%,Completed,"235,000.00",04.08.2022,100.00000,0.00000,100.00000,325620,325620,EPC,,04.08.2020,Cash,Unlisted,"235,000"
2325.,2007878325,RITCHIE BROS AUCTIONEERS AMERICA INC.,US,JM WOOD AUCTION COMPANY INC.,US,Acquisition 100%,Completed,"235,000.00",14.07.2025,100.00000,0.00000,100.00000,561990,551112,,,11.03.2025,Cash,Unlisted,"235,000"
,,,,,,,,,,,,,,,,,,Deferred payment,,n.a.
2326.,2007297154,POST HOLDINGS INC.,US,PERFECTION PET FOODS LLC'S ASSETS,US,Acquisition 100%,Completed,"235,000.00",04.12.2023,100.00000,0.00000,100.00000,311111,311230,POST,,10.10.2023,,Unlisted,n.a.
2327.,1941374607,AMEDISYS HOSPICE LLC,US,HOMECARE PREFERRED CHOICE INC.,US,Acquisition 100%,Completed,"235,000.00",01.06.2020,100.00000,0.00000,100.00000,623110,621610,,,27.04.2020,Cash Reserves,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"235,000"
2328.,1941224921,SONIC FINANCIAL CORPORATION,US,SPEEDWAY MOTORSPORTS INC.,US,Acquisition increased from 71.984% to 100%,Completed,"234,115.00",17.09.2019,28.01600,71.98400,100.00000,711212,551112,,TRK,24.07.2019,Cash,Delisted,"234,115"
2329.,2007474495,EXUS NORTH AMERICA HOLDINGS LLC,US,NM RENEWABLE DEVELOPMENT LLC,US,Acquisition 100%,Completed,"234,000.00",28.02.2024,100.00000,0.00000,100.00000,221118,523920,,,26.12.2023,Cash,Unlisted,"115,000"
2330.,2007774793,BENDING SPOONS US INC.,US,BRIGHTCOVE INC.,US,Acquisition 100%,Completed,"233,000.00",04.02.2025,100.00000,0.00000,100.00000,518210,511210,,BCOV,25.11.2024,Cash,Delisted,"233,000"
2331.,1941524673,RELIANCE STANDARD LIFE INSURANCE COMPANY,US,STANDARD SECURITY LIFE INSURANCE COMPANY OF NEW YORK,US,Acquisition 100%,Completed,"233,000.00",03.01.2022,100.00000,0.00000,100.00000,524113,524113,,,15.04.2021,Cash,Unlisted,"180,000"
,,,,,,,,,,,,,,,,,,Dividend,,"53,000"
2332.,2008384873,DURAVANT LLC,US,MATTHEWS INTERNATIONAL CORPORATION'S WAREHOUSE AUTOMATION BUSINESS,US,Acquisition 100%,Completed,"232,100.00",31.12.2025,100.00000,0.00000,100.00000,541613,333241,,,13.11.2025,Cash,Unlisted,"225,400"
,,,,,,,,,,,,,,,,,,Liabilities,,"6,700"
2333.,2007407884,GLOBAL FEDERAL CREDIT UNION,US,FIRST FINANCIAL NORTHWEST BANK'S ASSETS,US,Acquisition 100%,Completed,"231,200.00",11.04.2025,100.00000,0.00000,100.00000,522110,523910,,,10.01.2024,Cash,Unlisted,"231,200"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
2334.,1941673776,NATIONAL BANK HOLDINGS CORPORATION,US,BANCSHARES OF JACKSON HOLE INC.,US,Acquisition 100%,Completed,"230,232.00",15.10.2022,100.00000,0.00000,100.00000,522110,522110,NBHC,,01.04.2022,Cash,Unlisted,"53,000"
,,,,,,,,,,,,,,,,,,Shares,,"177,232"
2335.,2008468499,GENCOM PLATFORM LLC,US,INTERCONTINENTAL NEW YORK TIMES SQUARE,US,Acquisition 100%,Completed,"230,000.00",11.12.2025,100.00000,0.00000,100.00000,721110,523920,,,11.12.2025,,Unlisted,n.a.
,,HIGHGATE HOTELS LP,US,,,,,,,,,,,721110,,,,,,
,,ARGENT VENTURES LLC,US,,,,,,,,,,,531390,,,,,,
2336.,2007738409,PARSONS CORPORATION,US,BCC ENGINEERING LLC,US,Acquisition 100%,Completed,"230,000.00",01.11.2024,100.00000,0.00000,100.00000,541330,541512,PSN,,21.10.2024,Cash,Unlisted,"230,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
2337.,2007644579,DELEK LOGISTICS PARTNERS LP,US,H2O MIDSTREAM LLC,US,Acquisition 100%,Completed,"230,000.00",06.08.2024,100.00000,0.00000,100.00000,221310,211120,DKL,,06.08.2024,Cash,Unlisted,"160,000"
2338.,2007530515,SUNSTONE HOTEL INVESTORS INC.,US,HYATT REGENCY SAN ANTONIO RIVERWALK,US,Acquisition 100%,Completed,"230,000.00",30.04.2024,100.00000,0.00000,100.00000,721110,531120,SHO,,10.04.2024,Cash,Unlisted,"230,000"
2339.,2007526270,FRESHWORKS INC.,US,DEVICE42 INC.,US,Acquisition 100%,Completed,"230,000.00",06.06.2024,100.00000,0.00000,100.00000,511210,511210,FRSH,,30.04.2024,Cash,Unlisted,"215,000"
,,,,,,,,,,,,,,,,,,Shares,,"15,000"
2340.,2007394193,EXUS NEW MEXICO LLC,US,NEW MEXICO RENEWABLE DEVELOPMENT LLC,US,Acquisition 100%,Completed,"230,000.00",27.02.2024,100.00000,0.00000,100.00000,221118,523920,,,26.12.2023,Shares,Unlisted,"115,000"
,,,,,,,,,,,,,,,,,,Cash,,"104,000"
2341.,2007171909,BALLY'S CORPORATION,US,"LADY LUCK CASINO VICKSBURG, THE",US,Acquisition 100%,Completed,"230,000.00",02.07.2020,100.00000,0.00000,100.00000,713210,721120,BALY,,02.07.2020,,Unlisted,n.a.
,,,,ISLE OF CAPRI CASINO KANSAS CITY,US,,,,,100.00000,0.00000,100.00000,713210,,,,,,Unlisted,
2342.,2007018279,GPM INVESTMENTS LLC,US,PRIDE CONVENIENCE HOLDINGS LLC,US,Acquisition 100%,Completed,"230,000.00",06.12.2022,100.00000,0.00000,100.00000,445120,445120,,,19.10.2022,Cash,Unlisted,"30,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
2343.,1941588034,AGILITI INC.,US,SIZEWISE RENTALS LLC,US,Acquisition 100%,Completed,"230,000.00",04.10.2021,100.00000,0.00000,100.00000,339113,811219,AGTI,,14.09.2021,Cash Reserves,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"230,000"
2344.,1941549668,AMETEK INC.,US,NSI-MI TECHNOLOGIES LLC,US,Acquisition 100%,Completed,"230,000.00",04.05.2021,100.00000,0.00000,100.00000,334510,334510,AME,,04.05.2021,,Unlisted,n.a.
2345.,1941513839,COLOMBIER ACQUISITION CORPORATION,US,PSQ HOLDINGS INC.,US,Acquisition 100%,Completed,"230,000.00",19.07.2023,100.00000,0.00000,100.00000,518210,525990,PSQH,PSQH,27.02.2023,Earn-out,Listed,"30,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
,,,,,,,,,,,,,,,,,,Shares,,"200,000"
2346.,1941481085,HOLOGIC INC.,US,BIOTHERANOSTICS INC.,US,Acquisition 100%,Completed,"230,000.00",22.02.2021,100.00000,0.00000,100.00000,541713,334510,HOLX,,05.01.2021,,Unlisted,n.a.
2347.,2007825003,KIMBELL ROYALTY PARTNERS LP,US,BOREN MINERALS INC.'S MINERAL AND ROYALTY INTERESTS IN PERMIAN BASIN,US,Acquisition 100%,Completed,"230,000.00",17.01.2025,100.00000,0.00000,100.00000,212399,211120,KRP,,07.01.2025,Cash,Unlisted,"230,000"
2348.,1941657123,AARON’S RETAIL SOLUTIONS LLC,US,INTERBOND CORPORATION OF AMERICA,US,Acquisition 100%,Completed,"230,000.00",01.04.2022,100.00000,0.00000,100.00000,443141,443141,,,23.02.2022,Cash,Unlisted,"230,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
2349.,1941596147,FOXCONN EV TECHNOLOGY INC.,US,LORDSTOWN MOTORS CORPORATION'S OHIO FACILITY ASSETS,US,Acquisition 100%,Completed,"230,000.00",11.05.2022,100.00000,0.00000,100.00000,336111,336111,,,10.11.2021,,Unlisted,n.a.
2350.,1941480090,RBI SOLAR INC.,US,TERRASMART LLC,US,Acquisition 100%,Completed,"228,800.00",31.12.2020,100.00000,0.00000,100.00000,541618,332312,,,31.12.2020,Cash,Unlisted,"142,600"
,,,,,,,,,,,,,,,,,,Liabilities,,600
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
2351.,2007780952,KPS CAPITAL PARTNERS LP,US,CRANE COMPANY'S ENGINEERED MATERIALS BUSINESS,US,Acquisition 100%,Completed,"227,000.00",02.01.2025,100.00000,0.00000,100.00000,336411,523910,,,02.12.2024,Liabilities,Unlisted,n.a.
2352.,2007752081,FAIR HOLDINGS INC.,US,TRUECAR INC.,US,Acquisition 100%,Completed,"227,000.00",21.01.2026,100.00000,0.00000,100.00000,518210,518210,,TRUE,15.10.2025,Cash,Delisted,"227,000"
2353.,2007064314,PROSPERITY BANCSHARES INC.,US,LONE STAR STATE BANCSHARES INC.,US,Acquisition 100%,Completed,"226,417.00",01.04.2024,100.00000,0.00000,100.00000,522110,522110,PB,,11.10.2022,Shares,Unlisted,"162,317"
,,,,,,,,,,,,,,,,,,Cash,,"64,100"
2354.,1941603806,BANC OF CALIFORNIA INC.,US,PACIFIC MERCANTILE BANCORP,US,Acquisition 100%,Completed,"226,000.00",18.10.2021,100.00000,0.00000,100.00000,522110,522110,BANC,PMBC,22.03.2021,Cash,Delisted,"3,200"
,,,,,,,,,,,,,,,,,,Shares,,"223,700"
2355.,2007763385,CHS INC.,US,WEST CENTRAL AG SERVICES,US,Acquisition 100%,Completed,"225,000.00",02.01.2025,100.00000,0.00000,100.00000,424910,111998,CHSCP,,18.11.2024,,Unlisted,n.a.
2356.,2007202053,OMNICELL INC.,US,PHARMACEUTICAL STRATEGIES GROUP LLC'S 340B BUSINESS,US,Acquisition 100%,Completed,"225,000.00",01.10.2020,100.00000,0.00000,100.00000,541618,511210,OMCL,,01.10.2020,,Unlisted,n.a.
2357.,2007180565,TRXADE HEALTH INC.,US,SUPERLATUS INC.,US,Acquisition 100%,Completed,"225,000.00",31.07.2023,100.00000,0.00000,100.00000,541713,518210,SCNX,,23.06.2023,Shares,Unlisted,"225,000"
2358.,2007157901,FBG ENTERPRISES OPCO LLC,US,POINTSBET US INC.,US,Acquisition 100%,Completed,"225,000.00",04.04.2024,100.00000,0.00000,100.00000,518210,713290,,,15.05.2023,Cash,Unlisted,"225,000"
,,,,,,,,,,,,,,,,,,Deferred payment,,n.a.
2359.,2007020039,AVEANNA HEALTHCARE LLC,US,DUNN & BERGER INC.,US,Acquisition 100%,Completed,"225,000.00",30.11.2021,100.00000,0.00000,100.00000,623990,621610,,,14.11.2021,Cash,Unlisted,"225,000"
,,,,,,,,,,,,,,,,,,Deferred payment,,n.a.
2360.,1941644723,CACI INTERNATIONAL INC.,US,ID TECHNOLOGIES LLC,US,Acquisition 100%,Completed,"225,000.00",29.12.2021,100.00000,0.00000,100.00000,541511,541512,CACI,,29.12.2021,,Unlisted,n.a.
2361.,1941539545,ROMAN HEALTH VENTURES INC.,US,MODERN FERTILITY INC.,US,Acquisition 100%,Completed,"225,000.00",19.05.2021,100.00000,0.00000,100.00000,325412,621310,,,19.05.2021,Shares,Unlisted,n.a.
2362.,1941441400,HESS INFRASTRUCTURE PARTNERS LP,US,HESS CORPORATION'S BAKKEN WATER SERVICES BUSINESS,US,Acquisition 100%,Completed,"225,000.00",07.03.2019,100.00000,0.00000,100.00000,213112,211120,,,07.03.2019,Cash,Unlisted,"225,000"
2363.,1941438072,SANTEN HOLDINGS US INC.,US,EYEVANCE PHARMACEUTICALS HOLDINGS INC.,US,Acquisition 100%,Completed,"225,000.00",16.09.2020,100.00000,0.00000,100.00000,325412,325412,,,16.09.2020,Cash,Unlisted,"225,000"
2364.,1941330586,CH ROBINSON COMPANY INC.,US,PRIME DISTRIBUTION SERVICES INC.,US,Acquisition 100%,Completed,"225,000.00",02.03.2020,100.00000,0.00000,100.00000,541614,488510,,,28.01.2020,Cash,Unlisted,"225,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
2365.,1941292586,PROOFPOINT INC.,US,OBSERVEIT INC.,US,Acquisition 100%,Completed,"225,000.00",25.11.2019,100.00000,0.00000,100.00000,511210,518210,PFPT,,03.11.2019,Cash,Unlisted,"225,000"
2366.,1941213202,PROGRESS SOFTWARE CORPORATION,US,IPSWITCH INC.,US,Acquisition 100%,Completed,"225,000.00",01.05.2019,100.00000,0.00000,100.00000,518210,541511,PRGS,PRGS,28.03.2019,Cash,Listed,"225,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
2367.,1941206094,IDEAL INDUSTRIES INC.,US,CREE INC.'S LIGHTING BUSINESS,US,Acquisition 100%,Completed,"225,000.00",13.05.2019,100.00000,0.00000,100.00000,334413,334419,,,15.03.2019,Cash,Unlisted,"225,000"
,,,,,,,,,,,,,,,,,,Earn-out,,n.a.
2368.,1941186916,TELEDYNE TECHNOLOGIES INC.,US,ROPER TECHNOLOGIES INC.'S SCIENTIFIC IMAGING BUSINESSES,US,Acquisition 100%,Completed,"225,000.00",05.02.2019,100.00000,0.00000,100.00000,333914,334419,TDY,,19.12.2018,Cash,Unlisted,"225,000"
2369.,1941184310,CACI INTERNATIONAL INC.,US,MASTODON DESIGN LLC,US,Acquisition 100%,Completed,"225,000.00",30.01.2019,100.00000,0.00000,100.00000,511210,541512,CACI,,30.01.2019,,Unlisted,n.a.
2370.,2007878356,LABCORP HOLDINGS INC.,US,BIOREFERENCE HEALTH LLC'S LABORATORY TESTING BUSINESSES,US,Acquisition 100%,Completed,"225,000.00",15.09.2025,100.00000,0.00000,100.00000,541380,621511,LH,,11.03.2025,Cash,Unlisted,"192,500"
,,,,,,,,,,,,,,,,,,Earn-out,,"32,500"
2371.,1941722311,QUEST DIAGNOSTICS INC.,US,MERCY FAMILY CENTER'S OUTREACH LABORATORY SERVICES BUSINESS ASSETS,US,Acquisition 100%,Completed,"225,000.00",01.06.2021,100.00000,0.00000,100.00000,621511,621511,DGX,,08.03.2021,Cash,Unlisted,"225,000"
2372.,1941678861,EF HUTTON ACQUISITION CORPORATION I,US,HUMBLE IMPORTS INC.,US,Acquisition 100%,Completed,"225,000.00",12.12.2023,100.00000,0.00000,100.00000,336111,525990,ECDA,,03.03.2023,Cash,Unlisted,"15,000"
,,,,,,,,,,,,,,,,,,Shares,,"210,000"
2373.,1941193654,EVERSOURCE ENERGY,US,ORSTED A/S'S OFFSHORE WIND ASSETS BASED IN NEW ENGLAND,US,Acquisition 50%,Completed,"225,000.00",08.02.2019,50.00000,0.00000,50.00000,221115,221122,ES,,08.02.2019,,Unlisted,n.a.
2374.,1601234982,GILEAD SCIENCES INC.,US,ARRESTO BIOSCIENCES INC.,US,Acquisition 100%,Completed,"225,000.00",04.02.2019,100.00000,0.00000,100.00000,541713,325412,GILD,,20.12.2010,Earn-out,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
2375.,2007530585,MEDRISK INC.,US,CONDUENT INC.'S CASUALTY CLAIMS SOLUTIONS BUSINESS,US,Acquisition 100%,Completed,"224,000.00",01.09.2024,100.00000,0.00000,100.00000,561439,621999,,,03.05.2024,Cash,Unlisted,"224,000"
2376.,2007193282,DUBOIS CHEMICALS INC.,US,MILACRON LLC'S CIMCOOL BUSINESS,US,Acquisition 100%,Completed,"224,000.00",30.03.2020,100.00000,0.00000,100.00000,333249,325998,,,20.03.2020,Cash,Unlisted,"224,000"
,,,,,,,,,,,,,,,,,,Earn-out,,n.a.
2377.,1941710858,ENDEAVOR GROUP HOLDINGS INC.,US,ENDEAVOR OLE PARENT LLC,US,Acquisition unknown remaining stake %,Completed,"224,000.00",28.04.2022,Unknown remaining %,Unknown majority,100.00000,561599,541613,EDR,,28.04.2022,Shares,Unlisted,"224,000"
2378.,2008352469,ARTHUR J GALLAGHER & COMPANY,US,TOMPKINS INSURANCE AGENCIES INC.,US,Acquisition 100%,Completed,"223,000.00",03.11.2025,100.00000,0.00000,100.00000,524210,524210,AJG,,03.11.2025,Cash,Unlisted,"223,000"
2379.,1941716638,FORTRESS INVESTMENT GROUP LLC,US,BRIGHTSPIRE CAPITAL INC'S NON-DIGITAL REAL ESTATE INVESTMENT ASSETS,US,Acquisition 100%,Completed,"223,000.00",22.12.2021,100.00000,0.00000,100.00000,531120,523920,FIG,,22.12.2021,,Unlisted,n.a.
2380.,1941266151,AUSTIN NICHOLS & COMPANY INC.,US,CASTLE BRANDS INC.,US,Acquisition 100%,Completed,"223,000.00",09.10.2019,100.00000,0.00000,100.00000,312140,312140,,ROX,28.08.2019,Cash,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
2381.,2007759651,LINEAGE INC.,US,COLDPOINT LOGISTICS LLC,US,Acquisition 100%,Completed,"223,000.00",01.11.2024,100.00000,0.00000,100.00000,493110,523991,,,01.11.2024,,Unlisted,n.a.
2382.,2007321836,AUTHENTIC RESTAURANT BRANDS,US,FIESTA RESTAURANT GROUP INC.,US,Acquisition 100%,Completed,"222,607.00",30.10.2023,100.00000,0.00000,100.00000,722513,722511,,FRGI,07.08.2023,Cash,Delisted,"222,607"
2383.,2008448323,MOVANO INC.,US,CORVEX INC.,US,Acquisition 100%,Completed,"222,282.00",19.03.2026,100.00000,0.00000,100.00000,511210,511210,MOVE,,10.11.2025,Shares,Unlisted,"222,282"
2384.,1941692731,DD ACQUISITION HOLDINGS LLC,US,DIPPIN’ DOTS HOLDING LLC,US,Acquisition 100%,Completed,"222,000.00",21.06.2022,100.00000,0.00000,100.00000,311520,311520,,,19.05.2022,Cash Reserves,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"222,000"
2385.,1941588300,HUDSON PACIFIC PROPERTIES INC.,US,STAR WAGGONS,US,Acquisition 100%,Completed,"222,000.00",31.08.2021,100.00000,0.00000,100.00000,532120,531120,HPP,,17.08.2021,Cash,Unlisted,n.a.
,,,,ZIO STUDIO SERVICES,US,,,,,100.00000,0.00000,100.00000,532120,,,,,Cash Reserves,Unlisted,n.a.
2386.,1941649772,REPSOL OIL & GAS USA LLC,US,ROCKDALE MARCELLUS LLC'S ASSETS,US,Acquisition 100%,Completed,"222,000.00",19.01.2022,100.00000,0.00000,100.00000,211120,211120,,,03.01.2022,Liabilities,Unlisted,n.a.
,,,,ROCKDALE MARCELLUS HOLDINGS LLC'S ASSETS,US,,,,,100.00000,0.00000,100.00000,211120,,,,,,Unlisted,
2387.,1941477171,VIASAT INC.,US,RIGNET INC.,US,Acquisition 100%,Completed,"222,000.00",30.04.2021,100.00000,0.00000,100.00000,334210,334220,VSAT,RNET,21.12.2020,Shares,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
2388.,2007832979,ATLAS ENERGY SOLUTIONS INC.,US,MOSER ACQUISITION INC.,US,Acquisition 100%,Completed,"221,000.00",24.02.2025,100.00000,0.00000,100.00000,551114,213112,AESI,,27.01.2025,Shares,Unlisted,"41,000"
,,,,,,,,,,,,,,,,,,Cash,,"180,000"
2389.,2008502312,KARMAN HOLDINGS INC.,US,SEEMANN COMPOSITES LLC,US,Acquisition 100%,Completed,"220,000.00",05.02.2026,100.00000,0.00000,100.00000,336419,336419,KRMN,,07.01.2026,Cash,Unlisted,"210,000"
,,,,MATERIALS SCIENCES LLC,US,,,,,100.00000,0.00000,100.00000,541330,,,,,Shares,Unlisted,"10,000"
2390.,2008361546,WORLD KINECT CORPORATION,US,UNIVERSAL WEATHER AND AVIATION INC.'S TRIP SUPPORT SERVICES BUSINESS,US,Acquisition 100%,Completed,"220,000.00",05.11.2025,100.00000,0.00000,100.00000,518210,424720,WKC,,03.09.2025,Deferred payment,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"220,000"
2391.,2007956805,DATADOG INC.,US,EPPO DATA INC.,US,Acquisition 100%,Completed,"220,000.00",01.05.2025,100.00000,0.00000,100.00000,518210,518210,DDOG,,01.05.2025,,Unlisted,n.a.
2392.,2007214139,MEDTECH ACQUISITION CORPORATION,US,TRISALUS LIFE SCIENCES INC.,US,Acquisition 100%,Completed,"220,000.00",10.08.2023,100.00000,0.00000,100.00000,541713,525990,TLSI,,14.11.2022,Shares,Unlisted,"220,000"
2393.,1941700612,ICF INCORPORATED LLC,US,SEMANTICBITS LLC,US,Acquisition 100%,Completed,"220,000.00",14.07.2022,100.00000,0.00000,100.00000,541511,541611,,,08.06.2022,Cash,Unlisted,"220,000"
2394.,1941575240,INTEGRAL AD SCIENCE INC.,US,PUBLICA LLC,US,Acquisition 100%,Completed,"220,000.00",10.08.2021,100.00000,0.00000,100.00000,541810,518210,,,10.08.2021,Third party shares,Unlisted,"55,000"
,,,,,,,,,,,,,,,,,,Cash,,"165,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
2395.,1941554446,NICOLET BANKSHARES INC.,US,COUNTY BANCORP INC.,US,Acquisition 100%,Completed,"220,000.00",03.12.2021,100.00000,0.00000,100.00000,522110,522110,NIC,ICBK,22.06.2021,Shares,Delisted,"167,969"
,,,,,,,,,,,,,,,,,,Cash,,"49,000"
2396.,1941536753,NCC SERVICES LTD,GB,IRON MOUNTAIN INTELLECTUAL PROPERTY MANAGEMENT INC.,US,Acquisition 100%,Completed,"220,000.00",08.06.2021,100.00000,0.00000,100.00000,541519,541511,,,13.05.2021,Cash Reserves,Unlisted,n.a.
,,NCC GROUP SOFTWARE RESILIENCE (NA) LLC,US,IRON MOUNTAIN INC.'S INTELLECTUAL PROPERTY MANAGEMENT ASSETS,US,,,,,100.00000,0.00000,100.00000,533110,523910,,,,Cash,Unlisted,"220,000"
2397.,1941510426,BTC INTERNATIONAL HOLDINGS INC.,US,XBP EUROPE INC.,US,Acquisition 100%,Completed,"220,000.00",29.11.2023,100.00000,0.00000,100.00000,511210,525990,,,09.10.2022,Liabilities,Unlisted,n.a.
2398.,1941433431,PROGRESS SOFTWARE CORPORATION,US,CHEF SOFTWARE INC.,US,Acquisition 100%,Completed,"220,000.00",05.10.2020,100.00000,0.00000,100.00000,511210,541511,PRGS,,08.09.2020,Cash,Unlisted,"220,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
2399.,1941322577,BCE-MACH III LLC,US,ALTA MESA RESOURCES INC.'S ASSETS,US,Acquisition 100%,Completed,"220,000.00",08.04.2020,100.00000,0.00000,100.00000,211120,525990,,,06.01.2020,Cash,Unlisted,"220,000"
2400.,1941228521,AMN HEALTHCARE INC.,US,ADVANCED MEDICAL PERSONNEL SERVICES INC.,US,Acquisition 100%,Completed,"220,000.00",17.06.2019,100.00000,0.00000,100.00000,561311,561320,,,30.04.2019,Earn-out,Unlisted,"20,000"
2401.,1941200781,PACIRA PHARMACEUTICALS INC.,US,MYOSCIENCE INC.,US,Acquisition 100%,Completed,"220,000.00",09.04.2019,100.00000,0.00000,100.00000,339113,325412,PCRX,,05.03.2019,Cash,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Earn-out,,"100,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
2402.,2007576689,YEXT INC.,US,HEARSAY SOCIAL INC.,US,Acquisition 100%,Completed,"220,000.00",01.08.2024,100.00000,0.00000,100.00000,518210,518210,YEXT,,10.06.2024,Cash,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Earn-out,,"95,000"
2403.,2007137124,FIFTH SEASON INVESTMENTS LLC,US,FIFTH SEASON FINANCIAL LP'S LIFE SETTLEMENT BUSINESS ASSETS,US,Acquisition 100%,Completed,"220,000.00",15.11.2022,100.00000,0.00000,100.00000,523999,523999,,,15.11.2022,,Unlisted,n.a.
2404.,1941609020,INTEGER HOLDINGS CORPORATION,US,OSCOR INC.,US,Acquisition 100%,Completed,"220,000.00",02.12.2021,100.00000,0.00000,100.00000,541715,339112,ITGR,,28.10.2021,,Unlisted,n.a.
2405.,1939059956,SPB HOSPITALITY LLC,US,J ALEXANDER'S HOLDINGS INC.,US,Acquisition 100%,Completed,"220,000.00",30.09.2021,100.00000,0.00000,100.00000,722511,722511,,JAX,02.07.2021,Cash,Delisted,"220,000"
2406.,1941226517,FIRST CITIZENS BANCSHARES INC.,US,ENTEGRA FINANCIAL CORPORATION,US,Acquisition increased from 1.56% to 100%,Completed,"219,800.00",31.12.2019,98.44000,1.56000,100.00000,522110,522110,FCNCA,ENFC,23.04.2019,Cash,Delisted,"219,800"
2407.,2007171958,CASELLA WASTE SYSTEMS INC.,US,CONSOLIDATED WASTE SERVICES LLC'S ASSETS,US,Acquisition 100%,Completed,"219,000.00",01.09.2023,100.00000,0.00000,100.00000,562111,562212,CWST,,12.06.2023,Cash,Unlisted,"219,000"
2408.,1941412918,HELPSYSTEMS LLC,US,GLOBALSCAPE INC.,US,Acquisition 100%,Completed,"218,852.00",28.08.2020,100.00000,0.00000,100.00000,511210,511210,,GSB,20.07.2020,Cash Reserves,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
2409.,1941447903,HELIOS TECHNOLOGIES INC.,US,BWG HOLDINGS I CORPORATION,US,Acquisition 100%,Completed,"218,500.00",09.11.2020,100.00000,0.00000,100.00000,423910,334513,,,12.10.2020,Cash,Unlisted,"218,000"
2410.,1941186151,CAMBRIA ACQUISITION CORPORATION,US,MAXWELL TECHNOLOGIES INC.,US,Acquisition 100%,Completed,"217,874.00",16.05.2019,100.00000,0.00000,100.00000,335911,335911,,MXWL,03.02.2019,Shares,Delisted,"217,874"
